model,noise_sigma,denoise_method,Accuracy,F1-Score,Sensitivity,Specificity,Precision,TP,FP,FN,TN
yolov8m,5,noisy,0.8028,0.8325,0.8093,0.7929,0.8571,174,29,41,111
yolov9m,5,noisy,0.7823,0.799,0.805,0.7558,0.7931,161,42,39,130
yolov10m,5,noisy,0.743,0.7506,0.7525,0.733,0.7488,152,51,50,140
yolo11m,5,noisy,0.7132,0.7447,0.7098,0.7179,0.7833,159,44,65,112
yolo12m,5,noisy,0.7392,0.7471,0.7061,0.7789,0.7931,161,42,67,148
yolov8m,10,noisy,0.7892,0.7969,0.8453,0.7354,0.7537,153,50,28,139
yolov9m,10,noisy,0.7618,0.7673,0.7979,0.7268,0.7389,150,53,38,141
yolov10m,10,noisy,0.7474,0.7576,0.7772,0.7166,0.7389,150,53,43,134
yolo11m,10,noisy,0.7677,0.7689,0.7596,0.7761,0.7783,158,45,50,156
yolo12m,10,noisy,0.7306,0.736,0.7592,0.7026,0.7143,145,58,46,137
yolov8m,20,noisy,0.7874,0.8083,0.8525,0.7152,0.7685,156,47,27,118
yolov9m,20,noisy,0.7933,0.8077,0.7887,0.7989,0.8276,168,35,45,139
yolov10m,20,noisy,0.7185,0.7382,0.7475,0.6857,0.7291,148,55,50,120
yolo11m,20,noisy,0.7608,0.7747,0.7969,0.7222,0.7537,153,50,39,130
yolo12m,20,noisy,0.7318,0.7361,0.6943,0.7755,0.7833,159,44,70,152
yolov8m,30,noisy,0.7586,0.7708,0.7887,0.7268,0.7537,153,50,41,133
yolov9m,30,noisy,0.7252,0.7465,0.713,0.7412,0.7833,159,44,64,126
yolov10m,30,noisy,0.691,0.704,0.6681,0.7189,0.7438,151,52,75,133
yolo11m,30,noisy,0.7442,0.7537,0.7537,0.734,0.7537,153,50,50,138
yolo12m,30,noisy,0.7183,0.7268,0.7398,0.6963,0.7143,145,58,51,133
yolov8m,0,gaussian_filter,0.7738,0.7909,0.8093,0.7341,0.7734,157,46,37,127
yolov9m,0,gaussian_filter,0.7812,0.7902,0.7826,0.7796,0.798,162,41,45,145
