dataset,sigma,method,image,rho_1,rho_ratio_1,rho_phase_1,E_band1_clean,rho_2,rho_ratio_2,rho_phase_2,E_band2_clean,rho_3,rho_ratio_3,rho_phase_3,E_band3_clean,rho_4,rho_ratio_4,rho_phase_4,E_band4_clean
VOC,5,autoencoder,2008_007528_jpg.rf.05cc1ff39bbf58fc023758aa9c4c01dc.jpg,0.8805866190565698,0.8805866190565698,0.6664866017726276,2988780782683149.5,0.9952595769880239,0.9952595769880239,0.2922104821459971,17295860298137.354,0.4637778831526356,0.46377788315263563,-0.10567412089983685,5267377962836.226,0.5177420833041498,0.5177420833041498,-0.1883793826855742,2645874991532.9995
VOC,5,dncnn,2008_007528_jpg.rf.05cc1ff39bbf58fc023758aa9c4c01dc.jpg,0.8898944694441272,0.8898944694441272,0.6668566392273947,2988780782683149.5,0.7935339108028989,1.206466089197101,0.43091306148962716,17295860298137.354,0.6645354463165924,1.3354645536834076,0.3008807346907785,5267377962836.226,0.25319034247636174,1.7468096575236383,0.044918742765402975,2645874991532.9995
VOC,5,cae_pso,2008_007528_jpg.rf.05cc1ff39bbf58fc023758aa9c4c01dc.jpg,0.9197428218891658,0.9197428218891658,0.6648160842081359,2988780782683149.5,0.9225356705924415,1.0774643294075585,0.33978653556622485,17295860298137.354,0.5112953659971602,0.5112953659971601,-0.06685799504815804,5267377962836.226,0.5494395767204423,0.5494395767204423,-0.194887299883995,2645874991532.9995
VOC,5,bm3d,2008_007717_jpg.rf.cbc89e3a479bb0b8734a03043eb174b7.jpg,0.9998502956743246,1.0001497043256753,0.9897429308661981,1432076162499449.2,0.9867590599819682,0.9867590599819682,0.8826798311795275,22840231336435.96,0.9689813582727642,0.9689813582727642,0.7649011615701207,6425916153509.572,0.9503114421371172,0.9503114421371172,0.6177501355258669,2950617862574.555
VOC,5,gaussian_filter,2008_007717_jpg.rf.cbc89e3a479bb0b8734a03043eb174b7.jpg,0.9896408995426828,0.9896408995426828,0.9715723921533237,1432076162499449.2,0.34086223012420713,0.34086223012420713,0.5344905525338062,22840231336435.96,0.06295818419745358,0.06295818419745355,0.18698195788675565,6425916153509.572,0.03539445288158294,0.035394452881582994,0.04238080181383397,2950617862574.555
VOC,5,autoencoder,2008_007717_jpg.rf.cbc89e3a479bb0b8734a03043eb174b7.jpg,0.8986276993038241,0.8986276993038241,0.7003324721345581,1432076162499449.2,0.7902149244676576,0.7902149244676576,0.4128803695099711,22840231336435.96,0.2509604099842483,0.25096040998424834,-0.005262282057638457,6425916153509.572,0.2254854346443016,0.22548543464430157,-0.09360978155427868,2950617862574.555
VOC,5,dncnn,2008_007717_jpg.rf.cbc89e3a479bb0b8734a03043eb174b7.jpg,0.9142448614363957,0.9142448614363957,0.7017222175672455,1432076162499449.2,0.984599806986885,0.984599806986885,0.5701955330685322,22840231336435.96,0.9341323773321312,1.0658676226678687,0.4814838106837728,6425916153509.572,0.6361919794692275,1.3638080205307725,0.2470209562718132,2950617862574.555
VOC,5,cae_pso,2008_007717_jpg.rf.cbc89e3a479bb0b8734a03043eb174b7.jpg,0.8904853475454925,0.8904853475454925,0.6986531279876644,1432076162499449.2,0.8329288048118254,0.8329288048118254,0.4623500464687125,22840231336435.96,0.31157470503157725,0.31157470503157736,0.02330885658986126,6425916153509.572,0.25706868447375586,0.2570686844737558,-0.09566627839482766,2950617862574.555
VOC,5,bm3d,2008_008093_jpg.rf.0e39736e883b8478e9b70e848a6cd0f1.jpg,0.9999118008320727,0.9999118008320727,0.9927095983988914,3016954684329835.5,0.9761259442144105,0.9761259442144105,0.8487278696554449,16700158882715.498,0.9421894293968223,0.9421894293968223,0.7201316374989523,4670836428354.969,0.9434501243196683,0.9434501243196683,0.612795586155616,2399574247512.6367
VOC,5,gaussian_filter,2008_008093_jpg.rf.0e39736e883b8478e9b70e848a6cd0f1.jpg,0.9968133667120593,0.9968133667120593,0.9845800497240215,3016954684329835.5,0.37768100442619745,0.37768100442619734,0.5396645944064228,16700158882715.498,0.1465052763869219,0.146505276386922,0.2197828807604606,4670836428354.969,0.14941568880188505,0.14941568880188508,0.1042145694661446,2399574247512.6367
