dataset,sigma,method,image,rho_1,rho_ratio_1,rho_phase_1,E_band1_clean,rho_2,rho_ratio_2,rho_phase_2,E_band2_clean,rho_3,rho_ratio_3,rho_phase_3,E_band3_clean,rho_4,rho_ratio_4,rho_phase_4,E_band4_clean
PnPLO,10,bm3d,image (699).jpg,0.9952575852721297,0.9952575852721297,0.9892261148193272,5062407625236666.0,0.963380983831983,0.963380983831983,0.7781112625052676,17533892608405.768,0.8937215490721184,0.8937215490721184,0.6539550360466211,7244420980710.914,0.8695886496799632,0.8695886496799632,0.5255153995268044,4518527293518.264
PnPLO,10,gaussian_filter,image (699).jpg,0.991936671429073,0.991936671429073,0.9829882186711545,5062407625236666.0,0.4318482989077249,0.43184829890772486,0.5273732781810573,17533892608405.768,0.1559970041016685,0.15599700410166858,0.2029667501702701,7244420980710.914,0.13186380577930779,0.1318638057793078,0.09255237083833168,4518527293518.264
PnPLO,10,autoencoder,image (699).jpg,0.9154775547461168,0.9154775547461168,0.7216505364793875,5062407625236666.0,0.9408131212251946,1.0591868787748056,0.22781305164566246,17533892608405.768,0.5143987369238505,0.5143987369238505,-0.0611650272592994,7244420980710.914,0.5200956145411548,0.5200956145411548,-0.10384754956874676,4518527293518.264
PnPLO,10,dncnn,image (699).jpg,0.9209412625504036,0.9209412625504036,0.7221478066747815,5062407625236666.0,0.6820534683317916,1.3179465316682084,0.330881948821668,17533892608405.768,0.5090860125259885,1.4909139874740114,0.24574832975783112,7244420980710.914,0.0,2.0804690355751587,-0.06033984049072294,4518527293518.264
PnPLO,10,cae_pso,image (699).jpg,0.9477302863086549,0.9477302863086549,0.7210999237531555,5062407625236666.0,0.8840138522186597,1.1159861477813402,0.26587095904645774,17533892608405.768,0.5505888546399773,0.5505888546399773,-0.03224208946570406,7244420980710.914,0.5582133666841764,0.5582133666841764,-0.10861145933292504,4518527293518.264
PnPLO,10,bm3d,image (722).jpg,0.9947991676516696,0.9947991676516696,0.9858945473886452,64924825390915.15,0.9715607330116266,0.9715607330116266,0.8185850874879816,789540763150.9456,0.9362312754864996,0.9362312754864996,0.6828200343256847,265613295769.6822,0.9191903297390618,0.9191903297390618,0.563141349927263,154111663499.89557
PnPLO,10,gaussian_filter,image (722).jpg,0.9865224027863113,0.9865224027863113,0.9724068300738703,64924825390915.15,0.38506677443556714,0.3850667744355671,0.5421190529987435,789540763150.9456,0.13777172989924935,0.13777172989924935,0.21961731903912773,265613295769.6822,0.11886911279601786,0.11886911279601788,0.10793560566260918,154111663499.89557
PnPLO,10,autoencoder,image (722).jpg,0.9948292177535392,1.0051707822464608,0.9755994999664994,64924825390915.15,0.8671391064973144,0.8671391064973144,0.5855311874769138,789540763150.9456,0.18948494802462912,0.18948494802462915,0.1302934808398596,265613295769.6822,0.11676664007126758,0.1167666400712675,0.07880745069578099,154111663499.89557
PnPLO,10,dncnn,image (722).jpg,0.998218092482584,1.001781907517416,0.9895908805444457,64924825390915.15,0.9927181762769358,1.007281823723064,0.8592791561198921,789540763150.9456,0.9129617223469526,1.0870382776530474,0.6922154339671306,265613295769.6822,0.6399994588663982,1.3600005411336018,0.3848022959800642,154111663499.89557
PnPLO,10,cae_pso,image (722).jpg,0.9583889357943809,1.041611064205619,0.9648481641187487,64924825390915.15,0.8783455391167321,0.8783455391167321,0.6584699791790324,789540763150.9456,0.23898137120436624,0.23898137120436622,0.177473528478039,265613295769.6822,0.15756288936588658,0.1575628893658866,0.0852341480071982,154111663499.89557
PnPLO,10,bm3d,image (742).jpg,0.9996602283507382,0.9996602283507382,0.9895917822829849,2864775829365809.5,0.9790841564375786,0.9790841564375786,0.8303115796520341,17670227339567.76,0.9416189209135656,0.9416189209135656,0.7286529775151145,8134402956985.936,0.9307118268164016,0.9307118268164016,0.5694589072156289,4360940380598.8086
PnPLO,10,gaussian_filter,image (742).jpg,0.9966011487984217,0.9966011487984217,0.9809304944860885,2864775829365809.5,0.3399322567053329,0.3399322567053329,0.49777387763605485,17670227339567.76,0.057983049570291545,0.05798304957029149,0.1670908456932888,8134402956985.936,0.023331987361547513,0.02333198736154754,0.03750675640854739,4360940380598.8086
PnPLO,10,autoencoder,image (742).jpg,0.992232900791191,0.992232900791191,0.8672232909504782,2864775829365809.5,0.8482531017542823,0.8482531017542824,0.41043391587881906,17670227339567.76,0.15913921345505044,0.15913921345505047,0.02732322592626124,8134402956985.936,0.12446945090973938,0.12446945090973943,-0.017808324834032385,4360940380598.8086
PnPLO,10,dncnn,image (742).jpg,0.9865977400293233,0.9865977400293233,0.8679680754383707,2864775829365809.5,0.9773440146832466,1.0226559853167534,0.5741459170786523,17670227339567.76,0.8648491084239938,1.1351508915760062,0.44792211280420846,8134402956985.936,0.33765977091989685,1.6623402290801033,0.09699655903644211,4360940380598.8086
PnPLO,10,cae_pso,image (742).jpg,0.9658120134398667,1.0341879865601333,0.8642895839213898,2864775829365809.5,0.8761701931741335,0.8761701931741336,0.4798703661016377,17670227339567.76,0.19111134583548584,0.19111134583548578,0.06750451322777706,8134402956985.936,0.16153875121323202,0.16153875121323197,-0.016907921230115974,4360940380598.8086
PnPLO,10,bm3d,image (746).jpg,0.9943316396406011,0.9943316396406011,0.9917314195770122,1835870410255643.5,0.9495720798194194,0.9495720798194193,0.7896648078911649,3956515755881.1445,0.88550336832954,0.88550336832954,0.6275183894384826,952302090909.9603,0.9199572321602324,0.9199572321602324,0.4907365084796049,376310154863.32117
PnPLO,10,gaussian_filter,image (746).jpg,0.9911819690948935,0.9911819690948935,0.9860151835414994,1835870410255643.5,0.4881044032375045,0.4881044032375045,0.5464746348384735,3956515755881.1445,0.3798005123369167,0.3798005123369167,0.3137631133048703,952302090909.9603,0.5968666181727544,0.5968666181727545,0.38594883510378886,376310154863.32117
PnPLO,10,autoencoder,image (746).jpg,0.9831710182193015,1.0168289817806986,0.9856622967857034,1835870410255643.5,0.942075688375791,0.942075688375791,0.6233221085223852,3956515755881.1445,0.46746912448539046,0.46746912448539046,0.23181157100972172,952302090909.9603,0.6471822517243914,0.6471822517243914,0.34278877212062586,376310154863.32117
PnPLO,10,dncnn,image (746).jpg,0.995803393260766,1.004196606739234,0.9926893666524103,1835870410255643.5,0.9494005475421363,1.0505994524578637,0.7572797685192949,3956515755881.1445,0.6037775326288877,1.3962224673711123,0.3634843787117268,952302090909.9603,0.0,3.312099571610521,-0.5234405585831552,376310154863.32117
PnPLO,10,cae_pso,image (746).jpg,0.9625198621002921,1.037480137899708,0.9763930944211745,1835870410255643.5,0.9306580611583791,0.9306580611583791,0.670313021840846,3956515755881.1445,0.511313962220223,0.5113139622202231,0.2663371342215666,952302090909.9603,0.6930584711452465,0.6930584711452464,0.2921555219310604,376310154863.32117
PnPLO,10,bm3d,image (76).jpg,0.9993843670592627,0.9993843670592627,0.9850030114302206,355657434805946.1,0.9327041690423135,0.9327041690423135,0.751007456152986,2179885996822.9614,0.817938043498627,0.817938043498627,0.6070984107287907,845634727066.2047,0.8255303941317972,0.8255303941317972,0.4122544465955925,267275435798.58713
PnPLO,10,gaussian_filter,image (76).jpg,0.9965535593162359,0.9965535593162359,0.9782403274661511,355657434805946.1,0.4618987255067475,0.4618987255067475,0.511143508276857,2179885996822.9614,0.2246309887778496,0.22463098877784962,0.2368202370543896,845634727066.2047,0.38058572664788326,0.3805857266478832,0.23558673424627097,267275435798.58713
PnPLO,10,autoencoder,image (76).jpg,0.9848957110330695,0.9848957110330695,0.8873722432717605,355657434805946.1,0.9201967052103444,1.0798032947896556,0.4095049953090014,2179885996822.9614,0.40555792661601286,0.40555792661601286,0.09019156908784576,845634727066.2047,0.9426631556717171,0.9426631556717171,0.05755537250157827,267275435798.58713
